Key,Id,Spawn,SpawnRadius,Waypoints,WalkSpeed,AnimType,POITypes,POIProbs,AppearanceIdx
Ped_0,Ped_0,BC_topleft,250,"BC_bottomleft,BC_bottomright,BC_topright,C1_right,AC_bottomright,AC_bottomleft,AC_topleft,AC_topright,A1_top,AD_topleft,AD_topright,AD_bottomright,AD_bottomleft,AD_topleft,AD_topright,AD_bottomright,D1_right,BD_topright,BD_bottomright,BD_bottomleft",128,Male,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5764319366207742,0.6254054105483438,0.7312600295152546,1.0",Construction_Male_05
Ped_1,Ped_1,BC_topleft,250,"C1_left,AC_bottomleft,AC_bottomright,AC_topright,A1_top,AD_topleft,AD_bottomleft,A1_bottom,AC_bottomright,C1_right,BC_topright,B1_top,BD_topleft,BD_bottomleft,BD_bottomright,BD_topright,D1_right,AD_bottomright,AD_topright,AD_topleft",128,Female,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5050683907524207,0.77995177707307,0.5533046703423301,1.0",Female_Adult_02
Ped_2,Ped_2,BC_topleft,250,"C1_left,AC_bottomleft,AC_topleft,AC_topright,A1_top,AD_topleft,AD_bottomleft,D1_left,BD_topleft,BD_topright,BD_bottomright,BD_bottomleft,BD_topleft,B1_top,BC_topright,C1_right,AC_bottomright,AC_bottomleft,C1_left,BC_topleft",151,Female,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.737282457534557,0.5165436061427809,0.547488492386998,1.0",Pilot_Female_02
Ped_3,Ped_3,BC_topleft,250,"BC_bottomleft,BC_bottomright,BC_topright,BC_topleft,C1_left,AC_bottomleft,AC_bottomright,C1_right,BC_topright,B1_top,BD_topleft,BD_topright,D1_right,AD_bottomright,AD_bottomleft,D1_left,BD_topleft,B1_top,BC_topright,BC_bottomright",162,Female,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.798508445328831,0.9078442661882684,0.5518157707063983,1.0",Female_Adult_14
Ped_4,Ped_4,BC_topleft,250,"BC_bottomleft,BC_bottomright,B1_bottom,BD_bottomleft,BD_topleft,D1_left,AD_bottomleft,AD_topleft,A1_top,AC_topright,AC_topleft,AC_bottomleft,C1_left,BC_topleft,BC_topright,C1_right,AC_bottomright,AC_bottomleft,C1_left,BC_topleft",106,Male,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6941966753807468,0.8191869851256606,0.7067397522321504,1.0",Business_Male_07
Ped_5,Ped_5,BC_topleft,250,"BC_topright,C1_right,AC_bottomright,AC_topright,AC_topleft,AC_bottomleft,AC_bottomright,AC_topright,A1_top,AD_topleft,AD_bottomleft,A1_bottom,AC_bottomright,AC_topright,AC_topleft,AC_bottomleft,C1_left,BC_topleft,BC_bottomleft,BC_bottomright",127,Male,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979656173142844,0.6670524797763344,0.7103072978930631,1.0",Fire_Male_02
Ped_6,Ped_6,BC_topleft,250,"BC_topright,B1_top,BD_topleft,D1_left,AD_bottomleft,A1_bottom,AC_bottomright,AC_bottomleft,C1_left,BC_topleft,BC_bottomleft,BC_bottomright,B1_bottom,BD_bottomleft,BD_topleft,B1_top,BC_topright,BC_bottomright,B1_bottom,BD_bottomleft",112,Male,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5401263278078505,0.6968267417823157,0.6474500522515751,1.0",Business_Male_02
Ped_7,Ped_7,BC_topleft,250,"C1_left,AC_bottomleft,AC_bottomright,C1_right,BC_topright,BC_topleft,BC_bottomleft,BC_bottomright,B1_bottom,BD_bottomleft,BD_bottomright,BD_topright,D1_right,AD_bottomright,AD_topright,AD_topleft,A1_top,AC_topright,AC_topleft,AC_bottomleft",126,Female,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8042334360373355,0.930167103616646,0.7038420610965148,1.0",Female_Party_02
Ped_8,Ped_8,BC_topright,250,"C1_right,AC_bottomright,A1_bottom,AD_bottomleft,D1_left,BD_topleft,B1_top,BC_topright,C1_right,AC_bottomright,A1_bottom,AD_bottomleft,D1_left,BD_topleft,B1_top,BC_topright,BC_bottomright,BC_bottomleft,BC_topleft,C1_left",147,Male,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9111273972521035,0.6413598724570553,0.5284777462690434,1.0",Business_Male_05
Ped_9,Ped_9,BC_topright,250,"C1_right,AC_bottomright,A1_bottom,AD_bottomleft,D1_left,BD_topleft,BD_bottomleft,BD_bottomright,BD_topright,D1_right,AD_bottomright,AD_topright,AD_topleft,A1_top,AC_topright,AC_bottomright,A1_bottom,AD_bottomleft,AD_bottomright,D1_right",154,Male,"AC_POIBlockerTL_TR,AC_POIBlockerTR_TL,AC_POIBlockerTL_BL,AC_POIBlockerBL_TL,AC_POIBlockerTR_BR,AC_POIBlockerBR_TR,AC_POIBlockerBL_BR,AC_POIBlockerBR_BL,AD_POIBlockerTL_TR,AD_POIBlockerTR_TL,AD_POIBlockerTL_BL,AD_POIBlockerBL_TL,AD_POIBlockerTR_BR,AD_POIBlockerBR_TR,AD_POIBlockerBL_BR,AD_POIBlockerBR_BL,BC_POIBlockerTL_TR,BC_POIBlockerTR_TL,BC_POIBlockerTL_BL,BC_POIBlockerBL_TL,BC_POIBlockerTR_BR,BC_POIBlockerBR_TR,BC_POIBlockerBL_BR,BC_POIBlockerBR_BL,BD_POIBlockerTL_TR,BD_POIBlockerTR_TL,BD_POIBlockerTL_BL,BD_POIBlockerBL_TL,BD_POIBlockerTR_BR,BD_POIBlockerBR_TR,BD_POIBlockerBL_BR,BD_POIBlockerBR_BL,POIAttractor1,POIAttractor2,POIAttractorQueue2,POIRepellor1","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6644651215573396,0.8541819234133166,0.8273348338305007,1.0",Construction_Male_04
